Unnamed: 0,MINERAL_DEPOSIT_NO,DEPOSIT_COMMODITY_CODES,MAJOR_COMMODITY_CODE,MINDEP_CLASS_CODE,STATUS_TYPE_VALUE,SIZE_TYPE_VALUE,ORE_LITHOLOGY_CODE,LONGITUDE,LATITUDE,label,paths
11,11124,CLAY,NULL,OCCURRENCE,Seasonal,Low Significance,CLYS,138.8210517,-27.1147234,2,data/stacked_images/LC08_L1TP_099079_20200116_20200127_01_T1.TIF
12,47,Ni,Ni,OCCURRENCE,Not worked,Low Significance,JASP,132.7120664,-26.4648812,48,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
13,8829,U,U,OCCURRENCE,Not worked,Low Significance,MTHH,134.0720082,-26.5629863,59,data/stacked_images/LC08_L1TP_101079_20191111_20191115_01_T1.TIF
14,3488,Cu,Cu,OCCURRENCE,Not worked,Low Significance,IRSU,133.2525933,-26.5640503,55,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
15,37,Cu,Cu,OCCURRENCE,Not worked,Low Significance,DOLR,133.09031729999998,-26.767218300000003,55,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
16,38,Au,Au,OCCURRENCE,Not worked,Low Significance,VEIN,133.4991603,-26.9292993,40,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
17,3487,MIC,NULL,OCCURRENCE,Not worked,Low Significance,VEIN,133.4971023,-26.9326173,72,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
18,3489,BRL,NULL,OCCURRENCE,Not worked,Low Significance,PEGM,133.3938253,-26.9361723,33,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
19,35,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,133.2297223,-26.9393543,55,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
20,180,OPAL,NULL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.53458030000002,-26.9462623,29,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
21,177,MHEM,NULL,OCCURRENCE,Not worked,Low Significance,TCTO,133.6549053,-26.9497183,78,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
22,11168,CALI,NULL,OCCURRENCE,Seasonal,Low Significance,SILC,133.3637963,-26.9520413,26,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
23,178,OPAL,NULL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.50658729999998,-26.9541563,29,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
24,3293,MHEM,NULL,PROSPECT,Care/ Maintenance,Low Significance,MTHH,133.6981773,-26.971988300000003,78,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
25,176,Fe,Fe,OCCURRENCE,Not worked,Low Significance,QHMM,133.7000223,-26.97796330000001,3,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
26,94,CELES,NULL,OCCURRENCE,Not worked,Low Significance,REGO,135.96361399999998,-27.4985213,19,data/stacked_images/LC08_L1TP_100079_20200123_20200128_01_T1.TIF
27,8472,Cu,Cu,OCCURRENCE,Not worked,Low Significance,PEGM,133.2049523,-26.7733213,55,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
28,42,"Ni, Co, Cu",Ni,OCCURRENCE,Not worked,Low Significance,GOSS,132.7613144,-26.7784662,48,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
29,36,Cu,Cu,OCCURRENCE,Not worked,Low Significance,TCTO,133.1352933,-26.7900223,55,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
30,3290,U,U,OCCURRENCE,Not worked,Low Significance,SAND,133.5992643,-26.7987123,59,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
31,11166,GRVL,NULL,OCCURRENCE,Seasonal,Low Significance,GRVL,133.3351283,-26.8389863,69,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
32,45,Cu,Cu,OCCURRENCE,Not worked,Low Significance,DOLR,132.9391643,-26.8577462,55,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
33,44,Cu,Cu,OCCURRENCE,Not worked,Low Significance,DOLR,132.9841283,-26.8699922,55,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
34,8952,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,133.4382373,-26.8733943,55,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
35,43,Cu,Cu,OCCURRENCE,Not worked,Low Significance,DOLR,133.0141593,-26.8734413,55,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
36,9169,Cr,NULL,OCCURRENCE,Not worked,Low Significance,SERP,133.4012833,-26.8750573,83,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
37,46,Cu,Cu,OCCURRENCE,Not worked,Low Significance,DOLR,132.9556933,-26.8786992,55,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
38,11649,"Zn, GRPH",NULL,OCCURRENCE,Not worked,Low Significance,SHLE,134.1912412,-26.8808113,60,data/stacked_images/LC08_L1TP_101079_20191111_20191115_01_T1.TIF
39,9036,Cu,Cu,OCCURRENCE,Not worked,Low Significance,TCTO,132.93743229999998,-26.8866462,55,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
40,10011,COR,NULL,OCCURRENCE,Not worked,Low Significance,MINL,133.1751663,-26.8875713,70,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
41,10012,"CYP, COR",NULL,OCCURRENCE,Not worked,Low Significance,MINL,133.1994203,-26.8878833,31,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
42,8415,GBRO,NULL,OCCURRENCE,Seasonal,Low Significance,GBRO,133.4030733,-26.8944843,1,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
43,11167,CALI,NULL,OCCURRENCE,Seasonal,Low Significance,CALC,133.3745423,-26.8981023,26,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
44,11282,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,132.89518940000002,-26.9013122,55,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
45,11298,CALI,NULL,OCCURRENCE,Abandoned,Low Significance,CALC,132.89518940000002,-26.9013122,26,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
46,11319,BRL,NULL,OCCURRENCE,Not worked,Low Significance,PEGM,133.4434083,-26.9158863,33,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
47,186,OPAL,NULL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.9503262,-27.1816363,29,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
48,185,OPAL,NULL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.6782413,-27.19321930000001,29,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
49,11126,CLAY,NULL,OCCURRENCE,Seasonal,Low Significance,CLYS,138.75695269999997,-27.2557404,2,data/stacked_images/LC08_L1TP_099079_20200116_20200127_01_T1.TIF
50,188,OPAL,NULL,OCCURRENCE,Abandoned,Low Significance,OPAL,134.1998342,-27.2847543,29,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
51,10433,DOL,NULL,OCCURRENCE,Seasonal,Low Significance,SILC,133.5896683,-27.2857093,81,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
52,9342,"Cu, Pb, Zn",Cu,OCCURRENCE,Not worked,Low Significance,MTHH,133.75242020000002,-27.286624300000003,55,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
53,170,OPAL,NULL,OCCURRENCE,Seasonal,Low Significance,OPAL,133.2467933,-27.2983493,29,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
54,189,OPAL,NULL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.91618119999998,-27.2989123,29,data/stacked_images/LC08_L1TP_101079_20191111_20191115_01_T1.TIF
55,171,OPAL,NULL,OCCURRENCE,Seasonal,Low Significance,OPAL,133.2538213,-27.301144300000004,29,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
56,11127,CLAY,NULL,OCCURRENCE,Seasonal,Low Significance,CLYR,138.7723577,-27.302845399999995,2,data/stacked_images/LC08_L1TP_099079_20200116_20200127_01_T1.TIF
57,172,OPAL,NULL,OCCURRENCE,Seasonal,Low Significance,OPAL,133.2488123,-27.3048723,29,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
58,95,CELES,NULL,OCCURRENCE,Abandoned,Low Significance,REGO,135.1435261,-27.30926830000001,19,data/stacked_images/LC08_L1TP_101079_20191111_20191115_01_T1.TIF
59,173,OPAL,NULL,OCCURRENCE,Seasonal,Low Significance,OPAL,133.2617623,-27.3102693,29,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
60,174,OPAL,NULL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.2788663,-27.3149943,29,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
61,175,OPAL,NULL,PROSPECT,Seasonal,Locally Significant,OPAL,133.2952853,-27.3183543,29,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
62,190,OPAL,NULL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.91630020000002,-27.3594863,29,data/stacked_images/LC08_L1TP_101079_20191111_20191115_01_T1.TIF
63,10616,OCR,NULL,OCCURRENCE,Not worked,Low Significance,DURF,135.411359,-27.3918853,20,data/stacked_images/LC08_L1TP_100079_20200123_20200128_01_T1.TIF
64,11125,CLAY,NULL,OCCURRENCE,Seasonal,Low Significance,CLYR,138.7148977,-27.4006664,2,data/stacked_images/LC08_L1TP_099079_20200116_20200127_01_T1.TIF
65,182,OPAL,NULL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.3391533,-27.4529173,29,data/stacked_images/LC08_L1TP_102079_20191204_20191217_01_T1.TIF
66,5961,OCR,NULL,OCCURRENCE,Abandoned,Low Significance,IRSU,135.364727,-27.4977403,20,data/stacked_images/LC08_L1TP_100079_20200123_20200128_01_T1.TIF
67,10872,Au,Au,OCCURRENCE,Not worked,Low Significance,VEIN,135.605131,-27.7216343,40,data/stacked_images/LC08_L1TP_101079_20191111_20191115_01_T1.TIF
68,7365,CLAY,NULL,OCCURRENCE,Abandoned,Low Significance,CLYS,134.6550461,-27.7359323,2,data/stacked_images/LC08_L1TP_101079_20191111_20191115_01_T1.TIF
69,5957,Au,Au,OCCURRENCE,Not worked,Low Significance,VEIN,135.687863,-27.7951353,40,data/stacked_images/LC08_L1TP_100079_20200123_20200128_01_T1.TIF
70,10316,SiO2,NULL,PROSPECT,Not worked,Low Significance,DURS,135.761772,-27.8256203,47,data/stacked_images/LC08_L1TP_100079_20200123_20200128_01_T1.TIF
71,5963,COAL,NULL,DEPOSIT,Not worked,Locally Significant,COAL,135.14227309999998,-27.8283703,24,data/stacked_images/LC08_L1TP_101079_20191111_20191115_01_T1.TIF
72,11169,GRVL,NULL,OCCURRENCE,Seasonal,Low Significance,LAGU,134.0409182,-27.86233630000001,69,data/stacked_images/LC08_L1TP_101079_20191111_20191115_01_T1.TIF
73,11677,Au,Au,OCCURRENCE,Abandoned,Low Significance,CGLM,135.774248,-27.8765363,40,data/stacked_images/LC08_L1TP_100079_20200123_20200128_01_T1.TIF
74,9738,Au,Au,OCCURRENCE,Abandoned,Low Significance,CGLM,135.805855,-27.8963673,40,data/stacked_images/LC08_L1TP_100079_20200123_20200128_01_T1.TIF
75,5956,"Cu, U",Cu,OCCURRENCE,Not worked,Low Significance,VEIN,135.794597,-27.9020923,55,data/stacked_images/LC08_L1TP_100079_20200123_20200128_01_T1.TIF
76,5953,Au,Au,OCCURRENCE,Care/ Maintenance,Low Significance,CGLM,135.789861,-27.9045843,40,data/stacked_images/LC08_L1TP_100079_20200123_20200128_01_T1.TIF
77,5954,GRPH,NULL,OCCURRENCE,Abandoned,Low Significance,SCHT,135.783126,-27.9056663,65,data/stacked_images/LC08_L1TP_100079_20200123_20200128_01_T1.TIF
78,5358,COAL,NULL,DEPOSIT,Not worked,Significant to SA,COAL,134.74711509999997,-27.9350973,24,data/stacked_images/LC08_L1TP_101079_20191111_20191115_01_T1.TIF
79,198,LMST,NULL,DEPOSIT,Not worked,Locally Significant,LMST,134.1629862,-27.9733163,68,data/stacked_images/LC08_L1TP_101080_20200114_20200127_01_T1.TIF
80,5958,"Cu, Au",Cu,OCCURRENCE,Not worked,Low Significance,FBRC,135.87711299999998,-27.9893353,55,data/stacked_images/LC08_L1TP_100080_20200107_20200114_01_T1.TIF
81,4994,"DOL, Mg",NULL,PROSPECT,Not worked,Low Significance,DLOM,136.7981398,-28.1288574,81,data/stacked_images/LC08_L1TP_100079_20200123_20200128_01_T1.TIF
82,7028,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,135.948156,-28.13143830000001,55,data/stacked_images/LC08_L1TP_100079_20200123_20200128_01_T1.TIF
83,4996,DOL,NULL,OCCURRENCE,Not worked,Low Significance,DLOM,136.8191308,-28.1335284,81,data/stacked_images/LC08_L1TP_100079_20200123_20200128_01_T1.TIF
84,7010,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,135.9591109,-28.1348973,55,data/stacked_images/LC08_L1TP_100080_20200107_20200114_01_T1.TIF
85,11170,OPAL,NULL,PROSPECT,Abandoned,Low Significance,OPPO,134.2049552,-28.149276300000004,29,data/stacked_images/LC08_L1TP_101079_20191111_20191115_01_T1.TIF
86,4995,DOL,NULL,OCCURRENCE,Not worked,Low Significance,DLOM,136.81194480000002,-28.1543084,81,data/stacked_images/LC08_L1TP_099080_20200116_20200127_01_T1.TIF
87,5354,EPS,NULL,OCCURRENCE,Not worked,Low Significance,REGO,134.984613,-28.8600333,16,data/stacked_images/LC08_L1TP_100080_20200107_20200114_01_T1.TIF
88,103,OPAL,NULL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.55696809999998,-28.8607483,29,data/stacked_images/LC08_L1TP_101080_20200114_20200127_01_T1.TIF
89,7025,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,135.87426299999998,-28.0136143,55,data/stacked_images/LC08_L1TP_100080_20200107_20200114_01_T1.TIF
90,5351,COAL,NULL,OCCURRENCE,Not worked,Low Significance,COAL,134.3452382,-28.0158283,24,data/stacked_images/LC08_L1TP_101079_20191111_20191115_01_T1.TIF
91,11129,CLAY,NULL,OCCURRENCE,Seasonal,Low Significance,CLYS,138.6590506,-28.0199964,2,data/stacked_images/LC08_L1TP_099079_20200116_20200127_01_T1.TIF
92,193,OPAL,NULL,OCCURRENCE,Abandoned,Low Significance,OPAL,134.1446282,-28.0256033,29,data/stacked_images/LC08_L1TP_101080_20200114_20200127_01_T1.TIF
93,8871,U,U,OCCURRENCE,Not worked,Low Significance,GNSS,135.849008,-28.0369863,59,data/stacked_images/LC08_L1TP_100080_20200107_20200114_01_T1.TIF
94,8844,"Au, DIA",Au,OCCURRENCE,Not worked,Low Significance,GRVL,135.859249,-28.0370783,40,data/stacked_images/LC08_L1TP_100080_20200107_20200114_01_T1.TIF
95,7017,"Cu, U",Cu,OCCURRENCE,Not worked,Low Significance,VEIN,135.879349,-28.0387663,55,data/stacked_images/LC08_L1TP_100080_20200107_20200114_01_T1.TIF
96,8854,U,U,OCCURRENCE,Not worked,Low Significance,MTHH,135.804824,-28.0588113,59,data/stacked_images/LC08_L1TP_100080_20200107_20200114_01_T1.TIF
97,7005,CLAY,NULL,OCCURRENCE,Not worked,Low Significance,CLYS,135.0743081,-28.0789333,2,data/stacked_images/LC08_L1TP_101079_20191111_20191115_01_T1.TIF
98,7024,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,135.898825,-28.0807043,55,data/stacked_images/LC08_L1TP_100079_20200123_20200128_01_T1.TIF
99,7013,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,135.854227,-28.0910983,55,data/stacked_images/LC08_L1TP_100079_20200123_20200128_01_T1.TIF
100,5356,OPAL,NULL,OCCURRENCE,Abandoned,Low Significance,OPAL,134.1567192,-28.0925203,29,data/stacked_images/LC08_L1TP_101079_20191111_20191115_01_T1.TIF
101,4998,DOL,NULL,OCCURRENCE,Not worked,Low Significance,DLOM,136.8604908,-28.0972464,81,data/stacked_images/LC08_L1TP_100079_20200123_20200128_01_T1.TIF
102,7014,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,135.91284,-28.0986413,55,data/stacked_images/LC08_L1TP_100080_20200107_20200114_01_T1.TIF
103,192,OPAL,NULL,OCCURRENCE,Abandoned,Low Significance,OPAL,134.1555642,-28.1035713,29,data/stacked_images/LC08_L1TP_101080_20200114_20200127_01_T1.TIF
104,7012,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,FBRC,135.912569,-28.105943300000003,55,data/stacked_images/LC08_L1TP_100079_20200123_20200128_01_T1.TIF
105,7026,U,U,OCCURRENCE,Not worked,Low Significance,MTHH,135.948853,-28.1103353,59,data/stacked_images/LC08_L1TP_100080_20200107_20200114_01_T1.TIF
106,11171,OPAL,NULL,OCCURRENCE,Abandoned,Low Significance,OPAL,134.15856019999998,-28.1175443,29,data/stacked_images/LC08_L1TP_101080_20200114_20200127_01_T1.TIF
107,4997,DOL,NULL,OCCURRENCE,Not worked,Low Significance,DLOM,136.84697580000002,-28.1249094,81,data/stacked_images/LC08_L1TP_100079_20200123_20200128_01_T1.TIF
108,7035,"Cu, U",Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,135.923051,-28.128744300000005,55,data/stacked_images/LC08_L1TP_100080_20200107_20200114_01_T1.TIF
109,191,OPAL,NULL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.9192892,-27.5094493,29,data/stacked_images/LC08_L1TP_101079_20191111_20191115_01_T1.TIF
110,5960,CLAY,NULL,OCCURRENCE,Not worked,Low Significance,CLYS,135.455407,-27.527526300000005,2,data/stacked_images/LC08_L1TP_101079_20191111_20191115_01_T1.TIF
111,8214,SAND,NULL,OCCURRENCE,Care/ Maintenance,Low Significance,SAND,135.46108600000002,-27.5537783,84,data/stacked_images/LC08_L1TP_101079_20191111_20191115_01_T1.TIF
112,11285,REE,NULL,OCCURRENCE,Not worked,Low Significance,SAND,138.28776969999998,-27.6081904,79,data/stacked_images/LC08_L1TP_099079_20200116_20200127_01_T1.TIF
113,10315,SiO2,NULL,PROSPECT,Not worked,Low Significance,DURS,135.58932,-27.6298483,47,data/stacked_images/LC08_L1TP_100079_20200123_20200128_01_T1.TIF
114,11128,CLAY,NULL,OCCURRENCE,Seasonal,Low Significance,CLYR,138.7285776,-27.6426454,2,data/stacked_images/LC08_L1TP_099079_20200116_20200127_01_T1.TIF
115,200,LMST,NULL,DEPOSIT,Not worked,Low Significance,LMST,134.0272492,-27.6660533,68,data/stacked_images/LC08_L1TP_101079_20191111_20191115_01_T1.TIF
116,194,OPAL,NULL,OCCURRENCE,Abandoned,Low Significance,OPAL,134.21627420000002,-28.1666593,29,data/stacked_images/LC08_L1TP_101079_20191111_20191115_01_T1.TIF
117,7015,DIA,NULL,OCCURRENCE,Not worked,Low Significance,GRVL,135.878805,-28.1841873,75,data/stacked_images/LC08_L1TP_100079_20200123_20200128_01_T1.TIF
118,7018,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,135.9466919,-28.2059053,55,data/stacked_images/LC08_L1TP_100080_20200107_20200114_01_T1.TIF
119,5357,COAL,NULL,OCCURRENCE,Not worked,Low Significance,COAL,134.0852462,-28.24451830000001,24,data/stacked_images/LC08_L1TP_101080_20200114_20200127_01_T1.TIF
120,135,OPAL,NULL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.6582621,-28.8626673,29,data/stacked_images/LC08_L1TP_101080_20200114_20200127_01_T1.TIF
121,102,OPAL,NULL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.5101751,-28.8663453,29,data/stacked_images/LC08_L1TP_101080_20200114_20200127_01_T1.TIF
122,5352,EPS,NULL,OCCURRENCE,Not worked,Low Significance,REGO,134.8496731,-28.8746543,16,data/stacked_images/LC08_L1TP_101080_20200114_20200127_01_T1.TIF
123,136,OPAL,NULL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.6474951,-28.8897903,29,data/stacked_images/LC08_L1TP_101080_20200114_20200127_01_T1.TIF
124,104,OPAL,NULL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.5826761,-28.8931433,29,data/stacked_images/LC08_L1TP_101080_20200114_20200127_01_T1.TIF
125,7019,EPS,NULL,OCCURRENCE,Not worked,Low Significance,REGO,135.057028,-28.9003733,16,data/stacked_images/LC08_L1TP_101080_20200114_20200127_01_T1.TIF
126,7023,EPS,NULL,OCCURRENCE,Not worked,Low Significance,REGO,135.163713,-28.9019913,16,data/stacked_images/LC08_L1TP_100080_20200107_20200114_01_T1.TIF
127,137,OPAL,NULL,PROSPECT,Seasonal,Low Significance,OPAL,134.6551451,-28.9024463,29,data/stacked_images/LC08_L1TP_101080_20200114_20200127_01_T1.TIF
128,7020,EPS,NULL,OCCURRENCE,Not worked,Low Significance,REGO,135.077006,-28.9077683,16,data/stacked_images/LC08_L1TP_101080_20200114_20200127_01_T1.TIF
129,9343,"Cu, Pb, Zn",Cu,OCCURRENCE,Not worked,Low Significance,VEIN,132.2758134,-28.368023200000003,55,data/stacked_images/LC08_L1TP_103080_20191211_20191217_01_T1.TIF
130,7032,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,136.0687569,-28.4049223,55,data/stacked_images/LC08_L1TP_100080_20200107_20200114_01_T1.TIF
131,7011,DIA,NULL,PROSPECT,Not worked,Low Significance,GRVL,135.856832,-28.4300233,75,data/stacked_images/LC08_L1TP_100080_20200107_20200114_01_T1.TIF
132,11277,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,136.17820790000002,-28.4419563,55,data/stacked_images/LC08_L1TP_100080_20200107_20200114_01_T1.TIF
133,7008,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,135.9810679,-28.450937300000003,55,data/stacked_images/LC08_L1TP_100080_20200107_20200114_01_T1.TIF
134,7034,COAL,NULL,DEPOSIT,Not worked,Locally Significant,COAL,135.517796,-28.4867063,24,data/stacked_images/LC08_L1TP_100080_20200107_20200114_01_T1.TIF
135,9572,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,136.3580279,-28.5099963,55,data/stacked_images/LC08_L1TP_100080_20200107_20200114_01_T1.TIF
136,7031,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,135.9934379,-28.5159243,55,data/stacked_images/LC08_L1TP_100080_20200107_20200114_01_T1.TIF
137,7033,"Cu, Au",Cu,OCCURRENCE,Abandoned,Low Significance,GOSS,135.9950699,-28.51891830000001,55,data/stacked_images/LC08_L1TP_100080_20200107_20200114_01_T1.TIF
138,7006,"Cu, ASBT",Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,136.0744919,-28.525275300000004,55,data/stacked_images/LC08_L1TP_100080_20200107_20200114_01_T1.TIF
139,9574,"U, Cu, REE",U,OCCURRENCE,Not worked,Low Significance,VEIN,135.9816079,-28.5308863,59,data/stacked_images/LC08_L1TP_100080_20200107_20200114_01_T1.TIF
140,11225,Cu,Cu,OCCURRENCE,Not worked,Low Significance,REGO,135.9629989,-28.569668300000004,55,data/stacked_images/LC08_L1TP_100080_20200107_20200114_01_T1.TIF
141,7030,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,135.9777099,-28.5761193,55,data/stacked_images/LC08_L1TP_100080_20200107_20200114_01_T1.TIF
142,131,OPAL,NULL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.5938821,-28.8300683,29,data/stacked_images/LC08_L1TP_101080_20200114_20200127_01_T1.TIF
143,133,OPAL,NULL,PROSPECT,Seasonal,Low Significance,OPAL,134.6179501,-28.8355543,29,data/stacked_images/LC08_L1TP_101080_20200114_20200127_01_T1.TIF
144,134,OPAL,NULL,PROSPECT,Seasonal,Low Significance,OPAL,134.6219951,-28.8509103,29,data/stacked_images/LC08_L1TP_101080_20200114_20200127_01_T1.TIF
145,101,OPAL,NULL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.5013101,-28.8545793,29,data/stacked_images/LC08_L1TP_101080_20200114_20200127_01_T1.TIF
146,5353,EPS,NULL,OCCURRENCE,Not worked,Low Significance,REGO,134.8841631,-28.859207300000005,16,data/stacked_images/LC08_L1TP_101080_20200114_20200127_01_T1.TIF
147,8212,SAND,NULL,DEPOSIT,Seasonal,Locally Significant,SAND,135.579919,-29.006988300000003,84,data/stacked_images/LC08_L1TP_100080_20200107_20200114_01_T1.TIF
148,111,OPAL,NULL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.6261461,-29.0082433,29,data/stacked_images/LC08_L1TP_101080_20200114_20200127_01_T1.TIF
149,149,OPAL,NULL,OCCURRENCE,Abandoned,Low Significance,OPAL,134.76516909999998,-29.0091903,29,data/stacked_images/LC08_L1TP_101080_20200114_20200127_01_T1.TIF
