Unnamed: 0,MINERAL_DEPOSIT_NO,DEPOSIT_COMMODITY_CODES,MAJOR_COMMODITY_CODE,MINDEP_CLASS_CODE,STATUS_TYPE_VALUE,SIZE_TYPE_VALUE,ORE_LITHOLOGY_CODE,LONGITUDE,LATITUDE,label
31,11166,GRVL,GRVL,OCCURRENCE,Seasonal,Low Significance,GRVL,133.3351283,-26.838986300000002,83
32,45,Cu,Cu,OCCURRENCE,Not worked,Low Significance,DOLR,132.9391643,-26.8577462,68
33,44,Cu,Cu,OCCURRENCE,Not worked,Low Significance,DOLR,132.9841283,-26.869992200000002,68
34,8952,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,133.4382373,-26.8733943,68
35,43,Cu,Cu,OCCURRENCE,Not worked,Low Significance,DOLR,133.0141593,-26.8734413,68
36,9169,Cr,Cr,OCCURRENCE,Not worked,Low Significance,SERP,133.4012833,-26.8750573,11
37,46,Cu,Cu,OCCURRENCE,Not worked,Low Significance,DOLR,132.9556933,-26.878699199999996,68
38,11649,"Zn, GRPH",Zn,OCCURRENCE,Not worked,Low Significance,SHLE,134.1912412,-26.8808113,70
39,9036,Cu,Cu,OCCURRENCE,Not worked,Low Significance,TCTO,132.93743229999998,-26.8866462,68
40,10011,COR,COR,OCCURRENCE,Not worked,Low Significance,MINL,133.1751663,-26.887571299999998,26
41,10012,"CYP, COR",CYP,OCCURRENCE,Not worked,Low Significance,MINL,133.19942029999999,-26.8878833,57
42,8415,GBRO,GBRO,OCCURRENCE,Seasonal,Low Significance,GBRO,133.4030733,-26.8944843,4
43,11167,CALI,CALI,OCCURRENCE,Seasonal,Low Significance,CALC,133.3745423,-26.898102299999998,59
44,11282,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,132.89518940000002,-26.901312199999996,68
45,11298,CALI,CALI,OCCURRENCE,Abandoned,Low Significance,CALC,132.89518940000002,-26.901312199999996,59
46,11319,BRL,BRL,OCCURRENCE,Not worked,Low Significance,PEGM,133.4434083,-26.9158863,61
47,186,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.9503262,-27.1816363,71
48,185,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.6782413,-27.19321930000001,71
49,11126,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,138.75695269999997,-27.255740399999997,56
50,188,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,134.1998342,-27.2847543,71
51,10433,DOL,DOL,OCCURRENCE,Seasonal,Low Significance,SILC,133.5896683,-27.2857093,32
52,9342,"Cu, Pb, Zn",Cu,OCCURRENCE,Not worked,Low Significance,MTHH,133.75242020000002,-27.286624300000003,68
53,170,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,133.2467933,-27.2983493,71
54,189,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.91618119999998,-27.2989123,71
55,171,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,133.2538213,-27.301144300000004,71
56,11127,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYR,138.7723577,-27.302845399999995,56
57,172,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,133.2488123,-27.3048723,71
58,95,CELES,CELES,OCCURRENCE,Abandoned,Low Significance,REGO,135.1435261,-27.30926830000001,36
59,173,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,133.2617623,-27.3102693,71
60,174,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.2788663,-27.314994300000002,71
61,175,OPAL,OPAL,PROSPECT,Seasonal,Locally Significant,OPAL,133.2952853,-27.3183543,71
62,190,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.91630020000002,-27.3594863,71
63,10616,OCR,OCR,OCCURRENCE,Not worked,Low Significance,DURF,135.411359,-27.391885300000002,55
64,11125,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYR,138.7148977,-27.4006664,56
65,182,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.3391533,-27.4529173,71
66,5961,OCR,OCR,OCCURRENCE,Abandoned,Low Significance,IRSU,135.364727,-27.4977403,55
67,10872,Au,Au,OCCURRENCE,Not worked,Low Significance,VEIN,135.605131,-27.721634299999998,17
68,7365,CLAY,CLAY,OCCURRENCE,Abandoned,Low Significance,CLYS,134.6550461,-27.7359323,56
69,5957,Au,Au,OCCURRENCE,Not worked,Low Significance,VEIN,135.687863,-27.795135300000002,17
70,10316,SiO2,SiO2,PROSPECT,Not worked,Low Significance,DURS,135.761772,-27.825620299999997,76
71,5963,COAL,COAL,DEPOSIT,Not worked,Locally Significant,COAL,135.14227309999998,-27.8283703,12
72,11169,GRVL,GRVL,OCCURRENCE,Seasonal,Low Significance,LAGU,134.0409182,-27.86233630000001,83
73,11677,Au,Au,OCCURRENCE,Abandoned,Low Significance,CGLM,135.774248,-27.8765363,17
74,9738,Au,Au,OCCURRENCE,Abandoned,Low Significance,CGLM,135.805855,-27.8963673,17
75,5956,"Cu, U",Cu,OCCURRENCE,Not worked,Low Significance,VEIN,135.794597,-27.9020923,68
76,5953,Au,Au,OCCURRENCE,Care/ Maintenance,Low Significance,CGLM,135.789861,-27.9045843,17
77,5954,GRPH,GRPH,OCCURRENCE,Abandoned,Low Significance,SCHT,135.783126,-27.9056663,35
78,5358,COAL,COAL,DEPOSIT,Not worked,Significant to SA,COAL,134.74711509999997,-27.9350973,12
79,198,LMST,LMST,DEPOSIT,Not worked,Locally Significant,LMST,134.1629862,-27.9733163,23
80,5958,"Cu, Au",Cu,OCCURRENCE,Not worked,Low Significance,FBRC,135.87711299999998,-27.9893353,68
81,4994,"DOL, Mg",DOL,PROSPECT,Not worked,Low Significance,DLOM,136.7981398,-28.128857399999998,32
82,7028,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,135.948156,-28.13143830000001,68
83,4996,DOL,DOL,OCCURRENCE,Not worked,Low Significance,DLOM,136.8191308,-28.1335284,32
84,7010,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,135.9591109,-28.1348973,68
85,11170,OPAL,OPAL,PROSPECT,Abandoned,Low Significance,OPPO,134.2049552,-28.149276300000004,71
86,4995,DOL,DOL,OCCURRENCE,Not worked,Low Significance,DLOM,136.81194480000002,-28.154308399999998,32
87,5354,EPS,EPS,OCCURRENCE,Not worked,Low Significance,REGO,134.984613,-28.860033299999998,2
88,103,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.55696809999998,-28.8607483,71
89,7025,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,135.87426299999998,-28.013614299999997,68
90,5351,COAL,COAL,OCCURRENCE,Not worked,Low Significance,COAL,134.3452382,-28.0158283,12
91,11129,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,138.6590506,-28.019996399999997,56
92,193,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,134.1446282,-28.0256033,71
93,8871,U,U,OCCURRENCE,Not worked,Low Significance,GNSS,135.849008,-28.036986300000002,31
94,8844,"Au, DIA",Au,OCCURRENCE,Not worked,Low Significance,GRVL,135.859249,-28.0370783,17
95,7017,"Cu, U",Cu,OCCURRENCE,Not worked,Low Significance,VEIN,135.879349,-28.0387663,68
96,8854,U,U,OCCURRENCE,Not worked,Low Significance,MTHH,135.804824,-28.058811300000002,31
97,7005,CLAY,CLAY,OCCURRENCE,Not worked,Low Significance,CLYS,135.0743081,-28.0789333,56
98,7024,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,135.898825,-28.0807043,68
99,7013,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,135.854227,-28.091098300000002,68
100,5356,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,134.1567192,-28.092520299999997,71
101,4998,DOL,DOL,OCCURRENCE,Not worked,Low Significance,DLOM,136.8604908,-28.0972464,32
102,7014,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,135.91284,-28.0986413,68
103,192,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,134.1555642,-28.1035713,71
104,7012,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,FBRC,135.912569,-28.105943300000003,68
105,7026,U,U,OCCURRENCE,Not worked,Low Significance,MTHH,135.948853,-28.1103353,31
106,11171,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,134.15856019999998,-28.117544300000002,71
107,4997,DOL,DOL,OCCURRENCE,Not worked,Low Significance,DLOM,136.84697580000002,-28.1249094,32
108,7035,"Cu, U",Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,135.923051,-28.128744300000005,68
109,191,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.9192892,-27.5094493,71
110,5960,CLAY,CLAY,OCCURRENCE,Not worked,Low Significance,CLYS,135.455407,-27.527526300000005,56
111,8214,SAND,SAND,OCCURRENCE,Care/ Maintenance,Low Significance,SAND,135.46108600000002,-27.5537783,73
112,11285,REE,REE,OCCURRENCE,Not worked,Low Significance,SAND,138.28776969999998,-27.608190399999998,44
113,10315,SiO2,SiO2,PROSPECT,Not worked,Low Significance,DURS,135.58932,-27.6298483,76
114,11128,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYR,138.7285776,-27.642645399999996,56
115,200,LMST,LMST,DEPOSIT,Not worked,Low Significance,LMST,134.0272492,-27.666053299999998,23
116,194,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,134.21627420000002,-28.1666593,71
117,7015,DIA,DIA,OCCURRENCE,Not worked,Low Significance,GRVL,135.878805,-28.1841873,60
118,7018,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,135.9466919,-28.2059053,68
119,5357,COAL,COAL,OCCURRENCE,Not worked,Low Significance,COAL,134.0852462,-28.24451830000001,12
120,135,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.6582621,-28.862667300000002,71
121,102,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.5101751,-28.8663453,71
122,5352,EPS,EPS,OCCURRENCE,Not worked,Low Significance,REGO,134.8496731,-28.8746543,2
123,136,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.6474951,-28.889790299999998,71
124,104,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.5826761,-28.893143300000002,71
125,7019,EPS,EPS,OCCURRENCE,Not worked,Low Significance,REGO,135.057028,-28.900373300000002,2
126,7023,EPS,EPS,OCCURRENCE,Not worked,Low Significance,REGO,135.163713,-28.9019913,2
127,137,OPAL,OPAL,PROSPECT,Seasonal,Low Significance,OPAL,134.6551451,-28.902446299999998,71
128,7020,EPS,EPS,OCCURRENCE,Not worked,Low Significance,REGO,135.077006,-28.9077683,2
129,9343,"Cu, Pb, Zn",Cu,OCCURRENCE,Not worked,Low Significance,VEIN,132.2758134,-28.368023200000003,68
130,7032,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,136.0687569,-28.4049223,68
131,7011,DIA,DIA,PROSPECT,Not worked,Low Significance,GRVL,135.856832,-28.430023300000002,60
132,11277,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,136.17820790000002,-28.4419563,68
133,7008,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,135.9810679,-28.450937300000003,68
134,7034,COAL,COAL,DEPOSIT,Not worked,Locally Significant,COAL,135.517796,-28.4867063,12
135,9572,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,136.3580279,-28.509996299999997,68
136,7031,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,135.9934379,-28.515924300000002,68
137,7033,"Cu, Au",Cu,OCCURRENCE,Abandoned,Low Significance,GOSS,135.9950699,-28.51891830000001,68
138,7006,"Cu, ASBT",Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,136.0744919,-28.525275300000004,68
139,9574,"U, Cu, REE",U,OCCURRENCE,Not worked,Low Significance,VEIN,135.9816079,-28.530886300000002,31
140,11225,Cu,Cu,OCCURRENCE,Not worked,Low Significance,REGO,135.9629989,-28.569668300000004,68
141,7030,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,135.9777099,-28.576119300000002,68
142,131,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.5938821,-28.8300683,71
143,133,OPAL,OPAL,PROSPECT,Seasonal,Low Significance,OPAL,134.6179501,-28.835554300000002,71
144,134,OPAL,OPAL,PROSPECT,Seasonal,Low Significance,OPAL,134.6219951,-28.8509103,71
145,101,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.5013101,-28.8545793,71
146,5353,EPS,EPS,OCCURRENCE,Not worked,Low Significance,REGO,134.8841631,-28.859207300000005,2
147,8212,SAND,SAND,DEPOSIT,Seasonal,Locally Significant,SAND,135.579919,-29.006988300000003,73
148,111,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.6261461,-29.0082433,71
149,149,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,134.76516909999998,-29.0091903,71
150,114,OPAL,OPAL,PROSPECT,Seasonal,Low Significance,OPAL,134.6866291,-29.0108533,71
151,151,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,134.79340009999999,-29.011945299999997,71
152,7029,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,135.97150290000002,-28.57723630000001,68
153,7016,"Cu, U",Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,135.96078789999999,-28.577806300000002,68
154,7009,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,136.00422690000002,-28.6083593,68
155,5348,EPS,EPS,OCCURRENCE,Not worked,Low Significance,REGO,134.9438801,-28.6419093,2
156,5343,EPS,EPS,OCCURRENCE,Not worked,Low Significance,REGO,134.8563241,-28.6481293,2
157,5344,EPS,EPS,OCCURRENCE,Not worked,Low Significance,REGO,134.86809509999998,-28.658655300000003,2
158,5345,EPS,EPS,OCCURRENCE,Not worked,Low Significance,REGO,134.9099901,-28.6609093,2
159,5347,EPS,EPS,OCCURRENCE,Not worked,Low Significance,REGO,134.9395881,-28.66340030000001,2
160,5350,EPS,EPS,OCCURRENCE,Not worked,Low Significance,REGO,134.9792801,-28.6694543,2
161,5346,EPS,EPS,OCCURRENCE,Not worked,Low Significance,REGO,134.9261781,-28.695549300000003,2
162,7036,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,136.1854289,-28.7192623,68
163,5349,EPS,EPS,OCCURRENCE,Not worked,Low Significance,REGO,134.968043,-28.803832300000003,2
164,5355,Fe,Fe,PROSPECT,Not worked,Low Significance,QMTU,133.9128492,-28.8057393,54
165,11226,MSLT,MSLT,OCCURRENCE,Abandoned,Low Significance,MSED,136.12066289999999,-28.8106533,29
166,9497,OPAL,OPAL,PROSPECT,Seasonal,Low Significance,OPAL,134.42579709999998,-28.8148523,71
167,130,OPAL,OPAL,PROSPECT,Seasonal,Low Significance,OPAL,134.5503751,-28.81729330000001,71
168,129,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.5257761,-28.8176603,71
169,132,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.6531551,-28.826008299999998,71
170,100,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,134.4230451,-28.8269363,71
171,8437,"Cu, Pb, REE, Zn",Cu,OCCURRENCE,Not worked,Low Significance,SKRN,135.36038100000002,-28.9123523,68
172,7022,EPS,EPS,OCCURRENCE,Not worked,Low Significance,REGO,135.163039,-28.913457300000005,2
173,7021,EPS,EPS,OCCURRENCE,Not worked,Low Significance,REGO,135.086291,-28.91456830000001,2
174,8211,GRVL,GRVL,OCCURRENCE,Seasonal,Low Significance,GRVL,134.78989209999997,-28.925487300000004,83
175,4999,"DOL, Mg",DOL,PROSPECT,Not worked,Locally Significant,DLOM,137.2432858,-28.9294684,32
176,138,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.6709531,-28.930918300000002,71
177,105,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.60917709999998,-28.937450300000002,71
178,139,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.6667841,-28.9512173,71
179,106,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.54259309999998,-28.9558163,71
180,109,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.6124781,-28.960250300000002,71
181,107,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.5112701,-28.9636663,71
182,140,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.6934071,-28.9711363,71
183,108,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.52989209999998,-28.976188300000004,71
184,141,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.70046609999997,-28.9838063,71
185,10218,S,S,OCCURRENCE,Not worked,Low Significance,CLYS,137.7379397,-28.9839594,7
186,142,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.69412309999998,-28.993901300000005,71
187,110,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.64857709999998,-28.9983033,71
188,148,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,134.7602571,-29.0019613,71
189,143,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,134.7000021,-29.0023993,71
190,112,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.6411631,-29.004782300000002,71
191,4474,DOL,DOL,OCCURRENCE,Not worked,Low Significance,DLOM,137.26681680000002,-29.0052364,32
192,154,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,134.7846411,-29.027275300000003,71
193,117,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.74458810000002,-29.02765530000001,71
194,123,OPAL,OPAL,PROSPECT,Seasonal,Low Significance,OPAL,134.6470261,-29.027886300000002,71
195,119,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.7610091,-29.032199300000002,71
196,155,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,134.7984941,-29.032712300000004,71
197,10899,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,134.5997781,-29.0340663,71
198,118,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.7765251,-29.0346803,71
199,121,OPAL,OPAL,PROSPECT,Seasonal,Low Significance,OPAL,134.6824341,-29.035195299999998,71
200,9633,Fe,Fe,OCCURRENCE,Not worked,Low Significance,QMTU,133.87540520000002,-29.0379203,54
201,122,OPAL,OPAL,PROSPECT,Seasonal,Low Significance,OPAL,134.6623951,-29.038757300000004,71
202,120,OPAL,OPAL,PROSPECT,Seasonal,Low Significance,OPAL,134.7394251,-29.0389283,71
203,156,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.79644109999998,-29.0389543,71
204,157,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,134.8144011,-29.0390533,71
205,4472,CELES,CELES,OCCURRENCE,Not worked,Low Significance,REGO,137.03087680000002,-29.041258399999997,36
206,124,OPAL,OPAL,PROSPECT,Seasonal,Low Significance,OPAL,134.6561881,-29.052279300000002,71
207,125,OPAL,OPAL,PROSPECT,Seasonal,Low Significance,OPAL,134.70033909999998,-29.058704300000002,71
208,127,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.7979281,-29.05933730000001,71
209,126,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,134.7532521,-29.0606793,71
210,158,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.87188909999998,-29.0623163,71
211,8438,"Zn, Cu",Zn,OCCURRENCE,Not worked,Low Significance,MARK,135.012645,-29.0721423,70
212,128,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.7650201,-29.0750793,71
213,11137,SLST,SLST,OCCURRENCE,Seasonal,Low Significance,CLYR,138.4423866,-29.102251399999997,42
214,9632,Fe,Fe,OCCURRENCE,Not worked,Low Significance,QMTU,133.6971122,-29.1125663,54
215,80,CELES,CELES,OCCURRENCE,Not worked,Low Significance,REGO,137.14434880000002,-29.324313399999998,36
216,9631,Fe,Fe,OCCURRENCE,Not worked,Low Significance,QMTU,134.09954009999998,-29.3268793,54
217,11522,"U, Th",U,OCCURRENCE,Not worked,Low Significance,SAND,133.2051283,-29.334118300000004,31
218,8308,Fe,Fe,OCCURRENCE,Not worked,Low Significance,QMTU,135.360517,-29.3344843,54
219,8377,COAL,COAL,DEPOSIT,Not worked,Locally Significant,COAL,134.64769909999998,-29.346239299999997,12
220,11511,PALY,PALY,OCCURRENCE,Not worked,Low Significance,CLYS,134.0630181,-29.6016853,81
221,9896,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,135.7045319,-29.6020563,68
222,3059,"Cu, Au",Cu,OCCURRENCE,Not worked,Low Significance,TCTO,133.5820932,-29.6026673,68
223,9407,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,134.912239,-29.130150300000004,71
224,99,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.4798231,-29.1357583,71
225,3758,"Fe, Cu",Fe,OCCURRENCE,Not worked,Low Significance,MGTM,135.044225,-29.16239430000001,54
226,9461,"Th, REE",Th,OCCURRENCE,Not worked,Low Significance,MTHH,134.89848899999998,-29.188537300000004,25
227,9630,Fe,Fe,OCCURRENCE,Not worked,Low Significance,QMTU,134.2523951,-29.2112173,54
228,9462,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,134.61913710000002,-29.2146593,68
229,8356,Fe,Fe,OCCURRENCE,Not worked,Low Significance,QMTU,134.6357331,-29.2347423,54
230,8320,Fe,Fe,OCCURRENCE,Not worked,Low Significance,MGTM,134.2378051,-29.23512430000001,54
231,199,GRVL,GRVL,DEPOSIT,Seasonal,Low Significance,GRVL,134.4764821,-29.2471203,83
232,8855,U,U,OCCURRENCE,Not worked,Low Significance,MTHH,134.47028909999997,-29.2507063,31
233,8738,OPAL,OPAL,PROSPECT,Seasonal,Low Significance,OPAL,134.933623,-29.254807300000003,71
234,9549,HMIN,HMIN,OCCURRENCE,Not worked,Low Significance,SAND,131.1787655,-29.2621522,16
235,9405,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.977877,-29.2681803,71
236,168,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.990781,-29.2729483,71
237,9406,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.97839,-29.2771153,71
238,84,CELES,CELES,OCCURRENCE,Not worked,Low Significance,REGO,136.7394448,-29.2843674,36
239,159,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,134.93936100000002,-29.298674300000002,71
240,3049,"Fe, Au, Cu",Fe,DEPOSIT,Active Mine,Significant to SA,MGTM,135.123458,-29.2987163,54
241,9454,U,U,OCCURRENCE,Not worked,Low Significance,OTGN,135.126566,-29.308015299999997,31
242,83,CELES,CELES,OCCURRENCE,Not worked,Low Significance,REGO,136.9666918,-29.321456400000002,36
243,11138,SLST,SLST,OCCURRENCE,Seasonal,Low Significance,CLYR,138.35443759999998,-29.322191399999998,42
244,144,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.71074009999998,-29.012694300000003,71
245,9915,Au,Au,OCCURRENCE,Not worked,Low Significance,VEIN,133.1723263,-29.012957300000004,17
246,150,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.7754271,-29.0137213,71
247,113,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.65724509999998,-29.016287300000002,71
