MINERAL_DEPOSIT_NO,DEPOSIT_COMMODITY_CODES,MAJOR_COMMODITY_CODE,MINDEP_CLASS_CODE,STATUS_TYPE_VALUE,SIZE_TYPE_VALUE,ORE_LITHOLOGY_CODE,LONGITUDE,LATITUDE
171,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,133.2538213,-27.3011443
11127,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYR,138.7723577,-27.3028454
172,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,133.2488123,-27.3048723
95,CELES,CELES,OCCURRENCE,Abandoned,Low Significance,REGO,135.1435261,-27.3092683
173,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,133.2617623,-27.3102693
174,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.2788663,-27.3149943
175,OPAL,OPAL,PROSPECT,Seasonal,Locally Significant,OPAL,133.2952853,-27.3183543
190,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.9163002,-27.3594863
10616,OCR,OCR,OCCURRENCE,Not worked,Low Significance,DURF,135.411359,-27.3918853
11125,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYR,138.7148977,-27.4006664
182,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.3391533,-27.4529173
67,Ni,Ni,OCCURRENCE,Not worked,Low Significance,UMAF,130.7081166,-27.4598372
5961,OCR,OCR,OCCURRENCE,Abandoned,Low Significance,IRSU,135.364727,-27.4977403
50,Ni,Ni,OCCURRENCE,Not worked,Low Significance,JASP,132.8794704,-26.2758522
8226,"GRVL, SAND",GRVL,OCCURRENCE,Abandoned,Low Significance,SAND,140.0943825,-27.6887155
8225,"GRVL, SAND",GRVL,OCCURRENCE,Abandoned,Low Significance,GRVL,140.1159595,-27.6916535
10872,Au,Au,OCCURRENCE,Not worked,Low Significance,VEIN,135.605131,-27.7216343
7365,CLAY,CLAY,OCCURRENCE,Abandoned,Low Significance,CLYS,134.6550461,-27.7359323
11177,SLST,SLST,OCCURRENCE,Seasonal,Low Significance,SLST,140.8943754,-27.7367595
11178,SLST,SLST,OCCURRENCE,Seasonal,Low Significance,SLST,140.7755304,-27.7442415
11140,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,140.7534574,-27.7538065
10502,SHA,SHA,OCCURRENCE,Abandoned,Low Significance,GRVL,140.1469815,-27.7581065
11141,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,140.7735914,-27.7681945
5957,Au,Au,OCCURRENCE,Not worked,Low Significance,VEIN,135.687863,-27.7951353
9782,GAS,GAS,PROSPECT,Not worked,Locally Significant,SHLE,140.6452084,-27.8218855
10316,SiO2,SiO2,PROSPECT,Not worked,Low Significance,DURS,135.761772,-27.8256203
5963,COAL,COAL,DEPOSIT,Not worked,Locally Significant,COAL,135.1422731,-27.8283703
11142,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,140.7422634,-27.8446945
11169,GRVL,GRVL,OCCURRENCE,Seasonal,Low Significance,LAGU,134.0409182,-27.8623363
11179,SLST,SLST,OCCURRENCE,Seasonal,Low Significance,SLST,140.7208274,-27.8683785
11677,Au,Au,OCCURRENCE,Abandoned,Low Significance,CGLM,135.774248,-27.8765363
9738,Au,Au,OCCURRENCE,Abandoned,Low Significance,CGLM,135.805855,-27.8963673
5956,"Cu, U",Cu,OCCURRENCE,Not worked,Low Significance,VEIN,135.794597,-27.9020923
5953,Au,Au,OCCURRENCE,Care/ Maintenance,Low Significance,CGLM,135.789861,-27.9045843
5954,GRPH,GRPH,OCCURRENCE,Abandoned,Low Significance,SCHT,135.783126,-27.9056663
5358,COAL,COAL,DEPOSIT,Not worked,Significant to SA,COAL,134.7471151,-27.9350973
11143,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,140.7352954,-27.9483235
198,LMST,LMST,DEPOSIT,Not worked,Locally Significant,LMST,134.1629862,-27.9733163
5958,"Cu, Au",Cu,OCCURRENCE,Not worked,Low Significance,FBRC,135.877113,-27.9893353
4994,"DOL, Mg",DOL,PROSPECT,Not worked,Low Significance,DLOM,136.7981398,-28.1288574
7028,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,135.948156,-28.1314383
8235,SLST,SLST,OCCURRENCE,Abandoned,Low Significance,SLST,140.7144744,-28.1323675
4996,DOL,DOL,OCCURRENCE,Not worked,Low Significance,DLOM,136.8191308,-28.1335284
7010,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,135.9591109,-28.1348973
8223,SAND,SAND,OCCURRENCE,Care/ Maintenance,Low Significance,SAND,140.1812574,-28.1383435
8237,SLST,SLST,OCCURRENCE,Abandoned,Low Significance,SLST,140.7479474,-28.1450715
11170,OPAL,OPAL,PROSPECT,Abandoned,Low Significance,OPPO,134.2049552,-28.1492763
8236,SLST,SLST,OCCURRENCE,Abandoned,Low Significance,SLST,140.7762424,-28.1532445
4995,DOL,DOL,OCCURRENCE,Not worked,Low Significance,DLOM,136.8119448,-28.1543084
8238,SLST,SLST,OCCURRENCE,Abandoned,Low Significance,SLST,140.8100524,-28.1556425
5354,EPS,EPS,OCCURRENCE,Not worked,Low Significance,REGO,134.984613,-28.8600333
103,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.5569681,-28.8607483
7025,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,135.874263,-28.0136143
5351,COAL,COAL,OCCURRENCE,Not worked,Low Significance,COAL,134.3452382,-28.0158283
11129,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,138.6590506,-28.0199964
9783,GAS,GAS,PROSPECT,Not worked,Locally Significant,SHLE,140.2277754,-28.0207755
193,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,134.1446282,-28.0256033
11287,U,U,OCCURRENCE,Not worked,Low Significance,CLYS,140.9725094,-28.0267665
11144,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,140.7267074,-28.0317045
8871,U,U,OCCURRENCE,Not worked,Low Significance,GNSS,135.849008,-28.0369863
8844,"Au, DIA",Au,OCCURRENCE,Not worked,Low Significance,GRVL,135.859249,-28.0370783
7017,"Cu, U",Cu,OCCURRENCE,Not worked,Low Significance,VEIN,135.879349,-28.0387663
8854,U,U,OCCURRENCE,Not worked,Low Significance,MTHH,135.804824,-28.0588113
7005,CLAY,CLAY,OCCURRENCE,Not worked,Low Significance,CLYS,135.0743081,-28.0789333
7024,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,135.898825,-28.0807043
7013,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,135.854227,-28.0910983
8240,"CLAY, GRVL, SAND",CLAY,DEPOSIT,Seasonal,Locally Significant,GRVL,140.6175744,-28.0917805
5356,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,134.1567192,-28.0925203
4998,DOL,DOL,OCCURRENCE,Not worked,Low Significance,DLOM,136.8604908,-28.0972464
7014,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,135.91284,-28.0986413
192,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,134.1555642,-28.1035713
7012,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,FBRC,135.912569,-28.1059433
7026,U,U,OCCURRENCE,Not worked,Low Significance,MTHH,135.948853,-28.1103353
11171,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,134.1585602,-28.1175443
4997,DOL,DOL,OCCURRENCE,Not worked,Low Significance,DLOM,136.8469758,-28.1249094
7035,"Cu, U",Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,135.923051,-28.1287443
191,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,133.9192892,-27.5094493
5960,CLAY,CLAY,OCCURRENCE,Not worked,Low Significance,CLYS,135.455407,-27.5275263
11286,U,U,OCCURRENCE,Not worked,Low Significance,SAND,140.1283245,-27.5499915
8214,SAND,SAND,OCCURRENCE,Care/ Maintenance,Low Significance,SAND,135.461086,-27.5537783
8202,"SAND, GRVL",SAND,DEPOSIT,Seasonal,Low Significance,GRNT,140.6983334,-27.5904405
11285,REE,REE,OCCURRENCE,Not worked,Low Significance,SAND,138.2877697,-27.6081904
10315,SiO2,SiO2,PROSPECT,Not worked,Low Significance,DURS,135.58932,-27.6298483
8224,"GRVL, SAND",GRVL,OCCURRENCE,Abandoned,Low Significance,GRVL,140.1113055,-27.6401685
8227,"FEST, SHA",FEST,OCCURRENCE,Abandoned,Low Significance,SAND,140.1413925,-27.6425245
11128,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYR,138.7285776,-27.6426454
8229,"GRVL, SAND",GRVL,DEPOSIT,Seasonal,Low Significance,GRVL,140.1250375,-27.6595745
200,LMST,LMST,DEPOSIT,Not worked,Low Significance,LMST,134.0272492,-27.6660533
194,OPAL,OPAL,OCCURRENCE,Abandoned,Low Significance,OPAL,134.2162742,-28.1666593
7015,DIA,DIA,OCCURRENCE,Not worked,Low Significance,GRVL,135.878805,-28.1841873
8239,SAND,SAND,OCCURRENCE,Abandoned,Low Significance,SAND,140.6653244,-28.1868695
8917,U,U,OCCURRENCE,Not worked,Low Significance,SAND,140.3398874,-28.2008665
7018,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,135.9466919,-28.2059053
8918,U,U,OCCURRENCE,Not worked,Low Significance,SAND,140.3087474,-28.2118865
11130,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYR,138.6800046,-28.2174694
8233,SLST,SLST,OCCURRENCE,Abandoned,Low Significance,SLST,140.8418354,-28.2214905
8232,SLST,SLST,OCCURRENCE,Abandoned,Low Significance,SLST,140.8365204,-28.2316845
8246,SLST,SLST,OCCURRENCE,Abandoned,Low Significance,SLST,140.8080644,-28.2419385
5357,COAL,COAL,OCCURRENCE,Not worked,Low Significance,COAL,134.0852462,-28.2445183
11131,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYR,138.6645336,-28.2745554
11132,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,138.6586536,-28.2845424
8228,"GRVL, SAND",GRVL,OCCURRENCE,Abandoned,Low Significance,GRVL,140.1371105,-27.6713855
8230,"GRVL, SAND",GRVL,OCCURRENCE,Abandoned,Low Significance,GRVL,140.1207695,-27.6861775
135,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.6582621,-28.8626673
9785,GAS,GAS,PROSPECT,Not worked,Locally Significant,SHLE,140.0602214,-28.8631155
102,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.5101751,-28.8663453
5352,EPS,EPS,OCCURRENCE,Not worked,Low Significance,REGO,134.8496731,-28.8746543
136,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.6474951,-28.8897903
104,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.5826761,-28.8931433
11147,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,140.1171314,-28.8998435
7019,EPS,EPS,OCCURRENCE,Not worked,Low Significance,REGO,135.057028,-28.9003733
7023,EPS,EPS,OCCURRENCE,Not worked,Low Significance,REGO,135.163713,-28.9019913
137,OPAL,OPAL,PROSPECT,Seasonal,Low Significance,OPAL,134.6551451,-28.9024463
7020,EPS,EPS,OCCURRENCE,Not worked,Low Significance,REGO,135.077006,-28.9077683
9343,"Cu, Pb, Zn",Cu,OCCURRENCE,Not worked,Low Significance,VEIN,132.2758134,-28.3680232
8800,GRVL,GRVL,OCCURRENCE,Rehabilitated,Low Significance,GRVL,140.1416904,-28.3745935
8234,SLST,SLST,OCCURRENCE,Abandoned,Low Significance,SLST,140.8126733,-28.4039765
7032,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,136.0687569,-28.4049223
8243,SLST,SLST,OCCURRENCE,Abandoned,Low Significance,SLST,140.8525833,-28.4088095
8245,SLST,SLST,OCCURRENCE,Abandoned,Low Significance,SLST,140.7949993,-28.4107215
8241,SLST,SLST,OCCURRENCE,Abandoned,Low Significance,SLST,140.8958563,-28.4243755
11133,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,138.6812796,-28.4273364
8242,SLST,SLST,OCCURRENCE,Abandoned,Low Significance,SLST,140.8992223,-28.4276275
7011,DIA,DIA,PROSPECT,Not worked,Low Significance,GRVL,135.856832,-28.4300233
8247,SLST,SLST,OCCURRENCE,Abandoned,Low Significance,SLST,140.8304913,-28.4340585
8244,SLST,SLST,OCCURRENCE,Abandoned,Low Significance,SLST,140.7784093,-28.4348865
11277,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,136.1782079,-28.4419563
11145,"CLAY, SAND",CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,140.1964574,-28.4454365
7008,Cu,Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,135.9810679,-28.4509373
7034,COAL,COAL,DEPOSIT,Not worked,Locally Significant,COAL,135.517796,-28.4867063
11134,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,138.6874806,-28.4893634
9572,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,136.3580279,-28.5099963
7031,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,135.9934379,-28.5159243
7033,"Cu, Au",Cu,OCCURRENCE,Abandoned,Low Significance,GOSS,135.9950699,-28.5189183
7006,"Cu, ASBT",Cu,OCCURRENCE,Abandoned,Low Significance,VEIN,136.0744919,-28.5252753
9574,"U, Cu, REE",U,OCCURRENCE,Not worked,Low Significance,VEIN,135.9816079,-28.5308863
11146,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,140.1890474,-28.5336365
11135,CLAY,CLAY,OCCURRENCE,Seasonal,Low Significance,CLYS,138.7114006,-28.5653924
11225,Cu,Cu,OCCURRENCE,Not worked,Low Significance,REGO,135.9629989,-28.5696683
7030,Cu,Cu,OCCURRENCE,Not worked,Low Significance,VEIN,135.9777099,-28.5761193
10038,HMIN,HMIN,DEPOSIT,Not worked,Locally Significant,SAND,128.7335078,-28.8283572
131,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.5938821,-28.8300683
133,OPAL,OPAL,PROSPECT,Seasonal,Low Significance,OPAL,134.6179501,-28.8355543
134,OPAL,OPAL,PROSPECT,Seasonal,Low Significance,OPAL,134.6219951,-28.8509103
101,OPAL,OPAL,OCCURRENCE,Seasonal,Low Significance,OPAL,134.5013101,-28.8545793
